School_ID,Short_Name,Year,Rating_Status,Graduation_Rate_School,School_Type,College_Enrollment_Rate_School,Dimension_1,Dimension_2
609806,BRADWELL,2016-2017,Intensive Support,,Neighborhood,,-0.6920984378230448,1.1214384467285243
610184,SPRY ES,2016-2017,Provisional Support,,Neighborhood,,0.22664798120745927,-0.7532074461696532
610157,SAWYER,2016-2017,Good Standing,,Neighborhood,,4.207721321007938,-2.5149485902426045
610178,SCHMID,2016-2017,Intensive Support,,Neighborhood,,-1.4145214505576182,0.5405051269005308
609735,TILDEN HS,2016-2017,Intensive Support,50.0,Neighborhood,31.7,-2.568013789521722,-2.9175513431609805
610173,SHERWOOD,2016-2017,Good Standing,,Neighborhood,,-0.9468052758934914,0.7820636998835165
610300,WESTCOTT,2016-2017,Provisional Support,,Neighborhood,,-0.9042657179803983,0.9970302554429047
609760,CARVER MILITARY HS,2016-2017,Good Standing,91.0,Military academy,45.7,-0.2115714461775255,0.12572687443786565
610159,SCAMMON,2016-2017,Good Standing,,Neighborhood,,1.1435374282034945,-1.0122590136392664
609901,EDGEBROOK,2016-2017,Good Standing,,Neighborhood,,-0.03055179227414661,0.059748026849120325
610195,SUTHERLAND,2016-2017,Good Standing,,Neighborhood,,-0.37161659750513204,0.8542522314717614
609929,FULTON,2016-2017,Intensive Support,,Neighborhood,,-0.7552316050391286,0.010170754925559126
610022,KILMER,2016-2017,Good Standing,,Neighborhood,,1.0809954963962525,-0.1629401697856135
610142,RAY,2016-2017,Good Standing,,Neighborhood,,0.12840873357238575,1.0151039471962997
610396,TARKINGTON,2016-2017,Good Standing,,Neighborhood,,1.7487206529000927,-0.8175446925554669
609740,WELLS HS,2016-2017,Provisional Support,62.9,Neighborhood,51.0,-1.2258812316083156,-1.022759122995942
610391,LINDBLOM HS,2016-2017,Good Standing,89.2,Selective enrollment,83.6,2.7000071299132435,3.8399381744866603
400176,CAMELOT - EXCEL SOUTHWEST HS,2016-2017,Good Standing,,Citywide-Option,27.3,-2.3027073713469712,-1.2378857418222518
610153,RYDER,2016-2017,Good Standing,,Neighborhood,,-0.79872495802569,0.9718977877241757
610111,PALMER,2016-2017,Good Standing,,Neighborhood,,1.6118959634544265,-0.5791472054010698
609997,HOLMES,2016-2017,Intensive Support,,Neighborhood,,-1.4766160872747591,0.45405342066070264
609924,FORT DEARBORN,2016-2017,Good Standing,,Neighborhood,,-0.8674257455879814,0.9218151875947384
610000,HOWE,2016-2017,Good Standing,,Neighborhood,,-0.5556454488624618,1.0816103950672047
609909,EVERETT,2016-2017,Good Standing,,Neighborhood,,-1.007800646206641,-0.15158222706672422
609956,GRIMES,2016-2017,Good Standing,,Neighborhood,,-0.0579864841593835,-0.5540587446363806
610518,AUSTIN CCA HS,2016-2017,Intensive Support,70.9,Small,40.0,-1.9970798747181415,-0.8755946337093868
610392,WORLD LANGUAGE HS,2016-2017,Good Standing,77.9,Small,57.8,-0.3695355272235715,-0.3931211114819278
610109,OWEN,2016-2017,Good Standing,,Magnet,,-1.1917864770925513,0.6356451343301349
609903,EDWARDS,2016-2017,Good Standing,,Neighborhood,,3.9671966186450014,-2.3405321916274775
610216,WALSH,2016-2017,Provisional Support,,Neighborhood,,-0.6072113442085437,-0.26767622785777145
610251,CATHER,2016-2017,Good Standing,,Neighborhood,,-0.8277112070765547,0.8749726604381964
610384,INFINITY HS,2016-2017,Good Standing,94.2,Small,58.5,0.3436270982832332,0.42324855273663975
609976,HAYT,2016-2017,Good Standing,,Neighborhood,,2.3892930288634866,-0.23814010574768468
610353,CALMECA,2016-2017,Good Standing,,Small,,1.2939784739792348,-1.1800455396462348
610170,COLUMBIA EXPLORERS,2016-2017,Good Standing,,Neighborhood,,2.315549354083491,-1.6631973430241698
609920,KANOON,2016-2017,Good Standing,,Neighborhood,,0.6527881344193545,-0.9298526687698073
610126,PERSHING,2016-2017,Good Standing,,Magnet,,-0.3832004872927306,1.2994064556689788
610070,MCPHERSON,2016-2017,Good Standing,,Neighborhood,,0.8904869383115815,-0.7507316226203091
610223,WENTWORTH,2016-2017,Provisional Support,,Neighborhood,,-0.7280649143524766,1.1067197153024637
609958,GUNSAULUS,2016-2017,Good Standing,,Magnet,,1.2786515891644425,-1.1098515668062816
609918,FIELD,2016-2017,Good Standing,,Neighborhood,,-1.1602412937606221,0.08144457153135216
609926,FRANKLIN,2016-2017,Good Standing,,Magnet,,-0.6458183749572991,0.3597929469390287
609857,CLEVELAND,2016-2017,Good Standing,,Neighborhood,,0.3794849033012051,-0.6107335653070076
610038,LINCOLN,2016-2017,Good Standing,,Neighborhood,,1.1510336601039148,0.288165016124675
610564,DISNEY II HS,2016-2017,Good Standing,,Magnet,,0.6850569551362701,-0.17937813734209912
610312,MCDOWELL,2016-2017,Good Standing,,Neighborhood,,-1.3799908971220856,0.43556847993808806
610530,SOUTH SHORE ES,2016-2017,Good Standing,,Small,,-0.802553899132735,0.9039696683616352
610004,CULLEN,2016-2017,Good Standing,,Neighborhood,,-1.2986197201282998,0.5092969800787291
610248,CHICAGO ACADEMY ES,2016-2017,Good Standing,,Small,,0.5248236284450638,-0.564279681960788
610386,PEACE AND EDUCATION HS,2016-2017,Good Standing,,Citywide-Option,27.0,-2.264860230270084,-1.5479681366232187
610244,CLARK HS,2016-2017,Good Standing,85.8,Magnet,54.1,-0.2818279247100814,1.4831450102200368
610047,MADISON,2016-2017,Provisional Support,,Neighborhood,,-1.2510030454311276,0.6384329685398674
610078,INTER-AMERICAN,2016-2017,Good Standing,,Magnet,,0.6386317903966818,-0.7905050472222748
609864,COOK,2016-2017,Provisional Support,,Neighborhood,,-0.9323338457466949,0.9253713962169607
610087,BLAIR,2016-2017,Good Standing,,Special Education,,-1.1390563094469137,-0.0422415083617451
